title,cluster
28 Days Later,0
The Age of Adaline,1
Gangs of New York,3
"Lock, Stock and Two Smoking Barrels",3
Love Actually,4
Mystic River,3
Captain Fantastic,1
There Will Be Blood,3
The Game,3
"Love, Rosie",1
The Others,3
Rear Window,1
Predestination,1
The Impossible,1
The Blind Side,1
The Man from U.N.C.L.E.,1
Jackie Brown,3
Prey,0
Gremlins,1
How to Train Your Dragon The Hidden World,2
Rain Man,1
One Hundred and One Dalmatians,4
The Jungle Book,4
Gattaca,1
"Love, Simon",1
A.I. Artificial Intelligence,3
Little Women,1
Maleficent Mistress of Evil,4
A Quiet Place Part II,0
What Happened to Monday,0
Onward,2
Dirty Dancing,4
First Blood,1
Lilo & Stitch,2
Mulholland Drive,3
The Accountant,1
Mrs. Doubtfire,1
The Godfather Part III,3
Die Hard With a Vengeance,3
Speed,3
The Lobster,4
Notting Hill,1
Eyes Wide Shut,0
Enola Holmes,1
Extraction,1
Mr. Nobody,0
The Danish Girl,0
No Time to Die,3
Black Panther Wakanda Forever,1
Black Adam,1
Sweeney Todd The Demon Barber of Fleet Street,1
Alice in Wonderland,2
Pinocchio,2
Moonrise Kingdom,4
The Devil's Advocate,3
Mortal Kombat,3
From Dusk Till Dawn,3
The Conjuring The Devil Made Me Do It,3
"I, Tonya",1
Training Day,1
Interview with the Vampire,3
Stand by Me,0
Inside Man,4
The Invisible Man,0
Monty Python and the Holy Grail,2
The Goonies,2
Five Feet Apart,1
Vertigo,4
Total Recall,3
Casino,3
Moon,3
Bambi,2
Who Framed Roger Rabbit,2
Everything Everywhere All at Once,4
Black Hawk Down,1
Jungle Cruise,1
The Hurt Locker,0
The Untouchables,3
Southpaw,0
School of Rock,4
Collateral Beauty,4
The Wizard of Oz,2
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,0
The Iron Giant,0
Ghost,0
The Machinist,0
Collateral,3
The Gentlemen,1
Barbie,4
Uncharted,1
The Princess and the Frog,2
After We Collided,0
Apocalypto,0
Citizen Kane,0
Creed II,1
Apollo 13,3
Brother Bear,2
Peter Pan,4
Halloween,3
Les Misérables,1
Anastasia,1
Guardians of the Galaxy Vol. 3,1
American Gangster,3
Casablanca,4
The Aviator,0
First Man,1
True Grit,1
Orphan,1
Lady and the Tramp,4
Once Upon a Time in America,0
Boyhood,1
FaceOff,3
Bullet Train,1
Fantastic Mr. Fox,0
Darkest Hour,3
Wind River,0
Love & Other Drugs,1
Man on Fire,1
The Aristocats,2
Moneyball,1
In Bruges,1
John Wick Chapter 4,1
Law Abiding Citizen,3
Wrath of Man,1
Bram Stoker's Dracula,0
The Town,1
A Nightmare on Elm Street,1
The Hunchback of Notre Dame,1
Meet Joe Black,3
The Lego Batman Movie,2
The Holiday,1
RoboCop,1
Glass Onion A Knives Out Mystery,1
The Illusionist,0
Turning Red,1
Ferris Bueller's Day Off,1
The Founder,4
L.A. Confidential,1
Isle of Dogs,4
Shooter,1
Spider-Man Across the Spider-Verse,2
Starship Troopers,1
Rush Hour,1
Bridge to Terabithia,1
The Lighthouse,0
Mary Poppins,2
Marley & Me,4
Rocketman,1
Lord of War,4
Uncut Gems,3
Dilwale Dulhania Le Jayenge,2
The Lovely Bones,0
Spirit Stallion of the Cimarron,1
Fear and Loathing in Las Vegas,2
The Rock,0
Sonic the Hedgehog 2,2
Moulin Rouge!,3
The Invisible Guest,0
Perfume The Story of a Murderer,3
Warrior,3
The Princess Bride,0
The Royal Tenenbaums,1
Misery,3
Lethal Weapon,3
The Black Phone,0
Equilibrium,3
Perfect Strangers,0
The Addams Family,1
Hell or High Water,0
The Book Thief,1
Platoon,1
Snowden,1
Airplane!,1
Donnie Brasco,1
Matilda,1
Contact,1
Robin Hood,4
If I Stay,1
The Fighter,3
The Passion of the Christ,0
Rocky IV,1
Clueless,1
Blow,1
Life of Brian,2
[REC],3
Rocky II,3
Doctor Sleep,0
Unforgiven,3
Being John Malkovich,1
Cinema Paradiso,2
The Fly,3
Once Upon a Time in the West,1
Sing 2,1
Lone Survivor,0
One Day,1
Philadelphia,3
Ready or Not,1
Upgrade,3
Ghostbusters Afterlife,0
Red Dragon,3
Breakfast at Tiffany's,4
Fast X,1
Changeling,3
Unbroken,0
It's a Wonderful Life,1
Atonement,1
Close Encounters of the Third Kind,3
Amadeus,3
Dances with Wolves,1
The Edge of Seventeen,1
The Old Guard,1
Invictus,1
The Fugitive,3
The Blues Brothers,1
The Adam Project,1
The Karate Kid,0
Treasure Planet,0
"O Brother, Where Art Thou",1
The Parent Trap,4
A Walk to Remember,1
Ponyo,2
Match Point,4
A Fistful of Dollars,2
Oppenheimer,2
The Judge,1
Stardust,1
The Hunt,3
Lucky Number Slevin,1
Castle in the Sky,2
North by Northwest,4
Akira,4
Before Sunrise,4
The NeverEnding Story,2
Roma,1
The Menu,1
Gone with the Wind,0
The Birds,4
The Ballad of Buster Scruggs,0
True Lies,1
When Harry Met Sally...,1
Love and Monsters,1
What's Eating Gilbert Grape,3
Beverly Hills Cop,1
The Prince of Egypt,2
La Haine,3
Dawn of the Dead,0
Straight Outta Compton,3
Fracture,3
The Northman,1
"Everything, Everything",4
Searching,3
The Evil Dead,1
A Silent Voice The Movie,2
Begin Again,1
Kiki's Delivery Service,2
Billy Elliot,0
Annie Hall,4
For a Few Dollars More,4
The Sword in the Stone,4
The Patriot,1
The Crow,3
Klaus,1
Legend,3
Rosemary's Baby,0
The Croods A New Age,2
Identity,4
5050,1
Enemy of the State,0
The Road to El Dorado,2
Superman,1
Downfall,3
The Bucket List,1
As Good as It Gets,1
Ip Man,0
Carol,0
Chinatown,2
"Girl, Interrupted",0
Molly's Game,1
Babel,3
Carrie,3
Demon Slayer -Kimetsu no Yaiba- The Movie Mugen Train,2
The Call of the Wild,0
Modern Times,2
Gone Baby Gone,0
Remember Me,1
Crazy Rich Asians,2
Kubo and the Two Strings,0
Finding Neverland,1
Paddington,1
To the Bone,0
Memories of Murder,1
The Wrestler,3
Bicentennial Man,1
The Lives of Others,3
The Disaster Artist,1
Road to Perdition,3
Falling Down,1
Big,3
The Handmaiden,1
The Naked Gun From the Files of Police Squad!,1
Mad Max 2,2
Enemy at the Gates,3
Transformers Rise of the Beasts,1
Goldfinger,1
310 to Yuma,4
What We Do in the Shadows,3
The Darjeeling Limited,2
Midnight Sun,1
Seven Samurai,3
Sleepers,3
Magnolia,3
The Talented Mr. Ripley,3
Fall,1
13 Hours The Secret Soldiers of Benghazi,1
M3GAN,1
Melancholia,1
Serenity,1
Point Break,1
The Last Song,1
Crash,3
Brothers,4
A Few Good Men,3
Asterix & Obelix Mission Cleopatra,2
Nausicaä of the Valley of the Wind,2
The Elephant Man,3
War Horse,0
Some Like It Hot,4
"Extremely Wicked, Shockingly Evil and Vile",3
